Nombre,DNI,NSS,Género,Código Postal,Fecha Nacimiento,Fecha Ingreso,Diagnóstico,Tratamiento,Resultados
David Molina,48671224P,62/14961158/05,M,35059,1958-07-22,2025-10-28,Asma persistente,Paracetamol 1g,Estable
Sara Martínez,86120057F,13/99977294/04,M,16092,1941-12-21,2023-09-16,Asma persistente,Antihistamínicos,Respuesta favorable
Lucía Molina,57148912L,50/99236673/06,M,18929,1943-06-27,2024-12-28,Asma persistente,Antihistamínicos,Síntomas reducidos
Sergio Vega,40217989F,15/29706506/06,F,50615,1961-06-15,2023-11-03,Migraña episódica,Omeprazol 20 mg/día,Control parcial
Pablo Martínez,21271610Q,30/92579086/03,F,23290,1985-06-14,2023-10-31,Dermatitis atópica,Metformina 850 mg/12h,Respuesta favorable
David Gómez,12014440Q,46/26371193/07,M,47830,1953-11-01,2025-07-14,Migraña episódica,Enalapril 10 mg/día,Estable
Marta Fernández,25090963L,36/97119930/01,F,25593,1956-03-12,2023-08-01,Lumbalgia crónica,Fisioterapia,Mejora significativa
Pablo Ruiz,33483393A,77/85766536/09,M,10895,2001-11-09,2023-07-26,Gastritis,Antihistamínicos,Síntomas reducidos
Sara López,70924747Q,11/15162405/09,M,22777,1962-04-01,2025-05-03,Diabetes tipo II,Paracetamol 1g,Alta médica
Mario Gómez,72058922Q,13/98227381/03,M,31180,1974-02-04,2025-03-23,Hipertensión arterial,Corticoide tópico,Estable
Marta Castro,33829051U,15/28918370/06,M,24151,2008-03-26,2023-11-18,Hipertensión arterial,Fisioterapia,Síntomas reducidos
Javier Vega,55824711D,82/65928303/04,M,52569,1990-06-24,2023-05-02,Migraña episódica,Antihistamínicos,Alta médica
Clara Gómez,73156929Y,33/72649261/01,M,29755,1991-11-10,2023-11-04,Migraña episódica,Omeprazol 20 mg/día,Reagudización leve
Ana López,40251955W,52/67138771/03,F,32244,1953-02-25,2025-09-14,Artritis leve,Sertralina 50 mg,Reagudización leve
Sergio Vega,49065272H,89/41779575/01,M,32585,1945-10-10,2024-02-06,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Alta médica
Laura Ortega,74305946C,29/14631674/08,F,25430,1943-05-06,2024-04-26,Asma persistente,Salbutamol inhalado,Sin cambios relevantes
Clara López,36659770G,77/67737578/05,M,13619,2001-11-26,2025-01-11,Alergia estacional,Fisioterapia,Alta médica
Laura Díaz,47003752Q,23/87103259/04,F,28033,1984-07-20,2023-07-31,Dermatitis atópica,Salbutamol inhalado,Síntomas reducidos
Pablo Navarro,35708948G,49/45018947/05,M,21931,1966-12-21,2025-06-09,Ansiedad generalizada,Corticoide tópico,Mejora significativa
Javier Molina,29425242V,91/60537887/06,M,16990,2004-12-03,2023-08-31,Hipertensión arterial,Enalapril 10 mg/día,Mejora significativa
Laura Gómez,61654704N,31/63314099/04,F,44279,1980-01-17,2025-07-06,Artritis leve,Salbutamol inhalado,Alta médica
Elena Fernández,15530498N,83/77344341/05,F,47188,1982-05-11,2025-04-20,Alergia estacional,Sertralina 50 mg,Requiere seguimiento
Sara Ortega,77853733B,70/67519160/04,F,39805,1949-11-09,2025-08-18,Hipertensión arterial,Metformina 850 mg/12h,Estable
Marta Martínez,55352532N,58/93722630/09,F,31910,1961-08-04,2025-01-22,Migraña episódica,Ibuprofeno 400 mg/8h,Requiere seguimiento
Carlos Díaz,99553576Q,65/53550088/05,M,50049,1977-07-16,2023-11-24,Dermatitis atópica,Corticoide tópico,Sin cambios relevantes
Mario Romero,33329595R,68/35129239/08,F,44481,1956-12-30,2024-03-22,Ansiedad generalizada,Metformina 850 mg/12h,Reagudización leve
Sara Ruiz,44065428G,88/84707344/06,M,27613,1957-07-18,2024-09-05,Artritis leve,Omeprazol 20 mg/día,Alta médica
Paula Ortega,16264008Z,93/22329856/04,F,17621,2004-02-04,2024-01-08,Artritis leve,Salbutamol inhalado,Alta médica
Laura Vega,50065589K,78/80070594/05,F,28476,1974-01-22,2024-10-07,Alergia estacional,Antihistamínicos,Mejora significativa
Javier Ruiz,84641799J,40/44109567/01,M,46422,1981-04-21,2023-04-02,Lumbalgia crónica,Fisioterapia,Síntomas reducidos
Lucía Díaz,54050490H,99/61546967/02,M,11958,1992-03-29,2023-11-10,Hipertensión arterial,Fisioterapia,Estable
Sergio Molina,45863667P,93/27073714/01,F,42172,1955-01-03,2024-09-13,Diabetes tipo II,Fisioterapia,Reagudización leve
Marta Vega,54231448U,24/52411098/02,M,29504,1993-10-19,2025-11-06,Asma persistente,Fisioterapia,Sin cambios relevantes
Carlos Díaz,71307950H,61/25070337/06,M,32793,1951-06-06,2024-06-22,Alergia estacional,Metformina 850 mg/12h,Estable
Sara Vega,54009020Q,95/19615192/02,F,23131,1979-12-07,2025-01-04,Diabetes tipo II,Corticoide tópico,Control parcial
Mario Ruiz,73347515R,63/23227757/05,F,10223,1958-06-07,2025-09-13,Ansiedad generalizada,Paracetamol 1g,Alta médica
Mario Romero,72241464N,58/20911670/08,F,50269,1999-07-25,2023-05-07,Diabetes tipo II,Metformina 850 mg/12h,Alta médica
Pablo Ortega,40101359A,45/63467963/03,F,36434,1971-04-11,2023-11-05,Diabetes tipo II,Salbutamol inhalado,Estable
Mario Martínez,83154836M,68/79050087/02,F,51421,1961-12-13,2024-01-29,Ansiedad generalizada,Salbutamol inhalado,Síntomas reducidos
Elena Fernández,34873264F,42/10500451/02,F,50713,1946-06-18,2025-06-11,Asma persistente,Sertralina 50 mg,Síntomas reducidos
Clara Díaz,52072756H,86/62083597/07,F,42318,1956-10-24,2023-04-26,Gastritis,Metformina 850 mg/12h,Mejora significativa
David Vega,21516608B,46/70759565/02,F,18403,1945-03-02,2023-10-05,Gastritis,Corticoide tópico,Control parcial
Javier Ruiz,14324058Z,79/36345016/05,F,35637,1959-11-14,2023-10-06,Asma persistente,Fisioterapia,Requiere seguimiento
Laura López,26148489H,86/49830068/05,M,46339,1952-02-24,2025-10-02,Artritis leve,Corticoide tópico,Control parcial
Javier Martínez,73868173V,74/66795589/08,F,26499,1998-12-02,2023-02-25,Lumbalgia crónica,Omeprazol 20 mg/día,Sin cambios relevantes
Sergio Díaz,16191445P,30/50530915/09,F,20544,1974-06-06,2023-10-19,Hipertensión arterial,Paracetamol 1g,Mejora significativa
Hugo Navarro,62137227U,74/20277412/03,M,19899,1952-07-22,2024-11-02,Ansiedad generalizada,Sertralina 50 mg,Reagudización leve
Lucía Ortega,84452265Z,46/43525881/06,F,18621,1986-04-30,2025-07-05,Artritis leve,Omeprazol 20 mg/día,Reagudización leve
Clara Navarro,63523869L,91/59418462/04,M,24919,2005-02-11,2024-02-05,Lumbalgia crónica,Salbutamol inhalado,Sin cambios relevantes
Sergio Romero,11920275G,92/24600154/08,M,48389,2005-01-31,2024-04-07,Lumbalgia crónica,Omeprazol 20 mg/día,Alta médica
Ana Navarro,48852771W,92/67996724/04,F,28812,1984-06-26,2024-03-10,Asma persistente,Salbutamol inhalado,Requiere seguimiento
Mario Romero,92591197T,24/35203855/08,M,11231,1946-12-05,2025-02-05,Asma persistente,Enalapril 10 mg/día,Alta médica
Javier Martínez,10991003D,70/18030889/07,F,25456,1995-06-20,2024-10-17,Diabetes tipo II,Antihistamínicos,Mejora significativa
David Ruiz,66225250R,96/22500781/05,F,10698,1983-04-19,2024-05-19,Hipertensión arterial,Omeprazol 20 mg/día,Mejora significativa
Hugo Molina,22158519V,52/73354366/05,M,47239,1950-08-14,2023-07-22,Alergia estacional,Paracetamol 1g,Mejora significativa
Pablo Vega,11727025F,22/27533322/09,F,16035,1977-07-07,2023-07-14,Dermatitis atópica,Corticoide tópico,Requiere seguimiento
Laura Martínez,16485651K,30/79505487/02,M,39555,2004-05-28,2023-05-30,Lumbalgia crónica,Salbutamol inhalado,Alta médica
Ana Ruiz,63018228A,13/86930168/04,F,46687,1985-09-29,2024-07-10,Migraña episódica,Paracetamol 1g,Respuesta favorable
Javier Ortega,50622294J,94/14590832/02,F,32767,1955-01-14,2024-06-16,Diabetes tipo II,Omeprazol 20 mg/día,Síntomas reducidos
Javier Vega,50910642P,40/26040855/09,M,22322,1954-04-03,2023-05-27,Dermatitis atópica,Ibuprofeno 400 mg/8h,Control parcial
Clara Romero,30835238U,71/39170605/01,M,12004,1968-04-27,2023-11-10,Dermatitis atópica,Ibuprofeno 400 mg/8h,Reagudización leve
Mario Vega,51052161F,63/68038349/05,F,18176,1992-11-17,2024-12-06,Migraña episódica,Salbutamol inhalado,Estable
Carlos Molina,93706360I,99/40815782/03,F,12988,1958-02-27,2024-05-22,Dermatitis atópica,Corticoide tópico,Control parcial
Carlos Navarro,70333027U,12/59739779/01,F,25631,1985-04-12,2023-08-23,Artritis leve,Metformina 850 mg/12h,Respuesta favorable
Hugo Díaz,46096307K,47/61331637/08,F,17862,2001-07-19,2023-08-23,Migraña episódica,Ibuprofeno 400 mg/8h,Reagudización leve
Sergio Castro,21574136O,71/32772177/01,M,22750,2001-09-11,2025-01-14,Migraña episódica,Antihistamínicos,Síntomas reducidos
Mario López,33694110S,56/18735038/02,M,34308,1956-04-07,2024-07-01,Ansiedad generalizada,Sertralina 50 mg,Respuesta favorable
Paula Navarro,52072475Q,59/62134154/02,F,36790,1950-05-01,2024-01-10,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Alta médica
Paula Molina,81581868G,68/90369732/02,M,42311,1991-11-19,2024-12-25,Diabetes tipo II,Ibuprofeno 400 mg/8h,Alta médica
Elena Martínez,17374963G,98/40673385/04,F,44881,1952-09-25,2024-10-30,Lumbalgia crónica,Paracetamol 1g,Control parcial
Lucía Navarro,79067067P,80/61483203/01,M,44583,1953-10-13,2024-01-19,Alergia estacional,Metformina 850 mg/12h,Síntomas reducidos
Elena Sánchez,81662908I,85/59123559/03,F,15070,1967-07-05,2025-08-28,Alergia estacional,Ibuprofeno 400 mg/8h,Alta médica
Mario Gómez,23641790C,79/44436806/01,F,15351,1942-08-28,2025-01-17,Asma persistente,Antihistamínicos,Alta médica
Sergio Vega,80415882F,36/80593368/04,M,24587,1977-11-01,2024-01-07,Lumbalgia crónica,Paracetamol 1g,Síntomas reducidos
Laura Fernández,86155145T,49/93368028/08,F,40747,1994-01-26,2025-04-26,Lumbalgia crónica,Enalapril 10 mg/día,Síntomas reducidos
Lucía Ortega,77724917P,79/31164383/04,F,27284,2005-09-26,2025-11-29,Alergia estacional,Corticoide tópico,Requiere seguimiento
Sergio Martínez,82736054E,37/93528933/01,F,16499,1948-06-24,2025-08-01,Gastritis,Salbutamol inhalado,Estable
Marta Vega,15723416E,64/36372953/09,M,14698,1984-02-01,2025-09-24,Asma persistente,Ibuprofeno 400 mg/8h,Síntomas reducidos
David Fernández,99546624I,99/99851409/05,M,34374,1946-04-05,2025-11-07,Artritis leve,Ibuprofeno 400 mg/8h,Mejora significativa
David Ruiz,91509753E,83/80380232/03,M,17456,1948-12-10,2025-09-15,Ansiedad generalizada,Corticoide tópico,Síntomas reducidos
Mario Fernández,20984183Z,21/77038818/04,M,14067,1986-03-03,2024-06-08,Alergia estacional,Salbutamol inhalado,Alta médica
Pablo Ortega,59471870X,45/67162357/04,F,51116,1943-04-06,2023-08-11,Dermatitis atópica,Enalapril 10 mg/día,Sin cambios relevantes
Elena López,38862024X,92/26143812/06,M,45898,1955-11-28,2024-09-15,Lumbalgia crónica,Enalapril 10 mg/día,Sin cambios relevantes
Clara Ruiz,81843205A,29/44982524/08,M,42943,1946-11-25,2025-04-08,Dermatitis atópica,Paracetamol 1g,Síntomas reducidos
Mario Ortega,71144170D,59/92847571/07,M,14833,1958-10-15,2023-09-07,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Mejora significativa
Lucía Díaz,46766056X,68/86988077/01,F,24031,2009-02-02,2024-11-30,Gastritis,Omeprazol 20 mg/día,Control parcial
Javier Sánchez,69464181V,41/68918768/01,M,29391,2005-01-09,2025-08-24,Alergia estacional,Fisioterapia,Respuesta favorable
Elena Gómez,23501689N,38/81289276/03,M,19985,1944-06-27,2023-08-03,Diabetes tipo II,Enalapril 10 mg/día,Control parcial
Lucía Navarro,88073435Y,40/22553961/06,F,45378,1976-01-16,2025-04-21,Hipertensión arterial,Antihistamínicos,Respuesta favorable
Carlos Molina,97208068E,28/72953375/04,F,32912,1955-02-13,2024-01-30,Artritis leve,Metformina 850 mg/12h,Reagudización leve
David Vega,93133621R,55/44850571/08,M,51676,1956-06-25,2023-11-03,Artritis leve,Paracetamol 1g,Estable
Carlos Martínez,22116903J,37/50848835/03,M,41324,2008-08-17,2024-06-18,Gastritis,Salbutamol inhalado,Alta médica
Clara Ruiz,64647870C,97/19447369/03,M,42689,1988-02-09,2024-03-26,Asma persistente,Antihistamínicos,Respuesta favorable
Javier Vega,15681460H,76/93506631/02,M,43457,1985-08-27,2025-04-02,Diabetes tipo II,Ibuprofeno 400 mg/8h,Reagudización leve
Clara Navarro,35450589U,81/50234011/03,M,28278,1980-11-22,2025-07-03,Gastritis,Antihistamínicos,Estable
Elena Vega,73774467Q,38/34011293/07,F,38151,1959-02-04,2024-05-18,Ansiedad generalizada,Metformina 850 mg/12h,Síntomas reducidos
Javier Romero,29232378W,64/89374868/02,M,31234,1993-03-06,2023-06-15,Asma persistente,Paracetamol 1g,Mejora significativa
Mario Molina,60130140L,83/12899237/07,F,32087,1981-04-19,2024-02-27,Diabetes tipo II,Sertralina 50 mg,Mejora significativa
Paula Fernández,84141349E,82/61023748/08,F,10020,1988-09-10,2024-03-28,Gastritis,Metformina 850 mg/12h,Respuesta favorable
Javier Díaz,47090593V,81/73968359/04,M,37185,1998-01-19,2024-03-25,Alergia estacional,Ibuprofeno 400 mg/8h,Alta médica
Ana Martínez,84642309X,70/17388772/02,F,12726,1997-10-08,2024-07-28,Alergia estacional,Corticoide tópico,Control parcial
Clara Gómez,18207789T,80/64779803/08,M,40172,2004-10-12,2023-06-06,Ansiedad generalizada,Fisioterapia,Alta médica
Marta Ruiz,94360208M,82/41385432/01,F,35043,2005-08-29,2024-02-07,Hipertensión arterial,Fisioterapia,Respuesta favorable
Pablo López,99155603I,21/66231592/08,M,24276,1998-05-09,2024-06-10,Asma persistente,Omeprazol 20 mg/día,Control parcial
Laura Navarro,44625405Z,35/12324321/03,M,14021,2006-11-07,2024-12-22,Diabetes tipo II,Salbutamol inhalado,Requiere seguimiento
Lucía López,74816738X,83/78726459/09,F,20318,1969-08-30,2025-02-05,Diabetes tipo II,Salbutamol inhalado,Síntomas reducidos
Clara López,50716398P,93/62005931/05,F,39130,1988-12-25,2024-04-01,Lumbalgia crónica,Omeprazol 20 mg/día,Reagudización leve
Clara Ruiz,76094206V,77/49914171/04,M,25262,1948-02-09,2023-01-05,Diabetes tipo II,Fisioterapia,Estable
Ana Castro,42245234M,76/84382614/04,F,36680,2003-10-11,2025-09-19,Ansiedad generalizada,Salbutamol inhalado,Sin cambios relevantes
Sergio Navarro,91860948E,43/47725662/02,F,18140,1961-01-05,2024-04-30,Lumbalgia crónica,Salbutamol inhalado,Mejora significativa
Clara Molina,53774830H,94/77549780/01,M,36254,1953-04-10,2025-01-30,Asma persistente,Paracetamol 1g,Síntomas reducidos
Sara López,44985941Y,34/33711034/08,F,37254,1965-03-23,2024-02-07,Gastritis,Sertralina 50 mg,Reagudización leve
Pablo Ortega,53356327N,32/76013018/01,M,22236,1985-06-20,2024-05-10,Dermatitis atópica,Antihistamínicos,Estable
Marta Castro,82874101O,23/27155208/04,F,45659,1947-08-24,2024-10-13,Asma persistente,Corticoide tópico,Síntomas reducidos
Laura Díaz,82540305B,46/29261385/06,M,34869,1994-05-31,2025-05-09,Artritis leve,Antihistamínicos,Mejora significativa
Hugo Gómez,31347610K,22/20330581/04,M,28080,1975-06-12,2023-06-24,Dermatitis atópica,Corticoide tópico,Mejora significativa
Javier Vega,99727606R,78/75263160/03,M,35364,1967-10-05,2025-06-25,Ansiedad generalizada,Fisioterapia,Sin cambios relevantes
Mario Ortega,47038745A,17/89575878/09,M,13497,1967-12-29,2025-06-18,Hipertensión arterial,Fisioterapia,Mejora significativa
David Sánchez,75836531C,98/84309498/05,M,14509,1945-12-15,2023-11-05,Ansiedad generalizada,Salbutamol inhalado,Mejora significativa
Sergio Gómez,70314006D,99/55676619/09,F,28681,1956-08-29,2024-03-14,Asma persistente,Salbutamol inhalado,Alta médica
Marta Fernández,92769095U,74/88810403/04,M,16216,1968-04-28,2025-03-21,Lumbalgia crónica,Sertralina 50 mg,Alta médica
Ana Ortega,51180110J,51/73644094/09,M,52983,1961-12-05,2025-06-29,Alergia estacional,Antihistamínicos,Reagudización leve
Mario Romero,40208311U,20/84202471/02,F,46343,1941-09-19,2023-09-19,Dermatitis atópica,Sertralina 50 mg,Sin cambios relevantes
Carlos Fernández,95057765F,54/66315544/09,F,40610,1999-02-24,2025-08-10,Migraña episódica,Paracetamol 1g,Síntomas reducidos
Clara Ortega,22350909R,53/85106770/09,M,38041,1987-06-02,2025-04-09,Alergia estacional,Omeprazol 20 mg/día,Reagudización leve
Elena Navarro,97598122R,98/40479504/04,M,52731,1968-10-02,2025-03-18,Artritis leve,Fisioterapia,Control parcial
Ana Sánchez,58813531G,66/68969010/03,F,32577,1989-10-29,2025-02-03,Diabetes tipo II,Ibuprofeno 400 mg/8h,Estable
Carlos Gómez,34423903C,12/87857653/08,F,38143,1977-09-02,2023-06-21,Alergia estacional,Salbutamol inhalado,Reagudización leve
Ana Vega,26671069A,59/39653840/09,F,25986,1981-01-22,2024-06-20,Migraña episódica,Enalapril 10 mg/día,Alta médica
Laura Navarro,97196966G,61/96583552/05,F,51614,1987-07-26,2024-12-16,Gastritis,Fisioterapia,Reagudización leve
Lucía Díaz,79435466E,78/12583584/07,M,13421,1941-08-21,2025-08-10,Alergia estacional,Fisioterapia,Reagudización leve
David Gómez,32054109A,27/37166693/06,F,46224,2001-06-28,2024-04-26,Hipertensión arterial,Antihistamínicos,Respuesta favorable
Hugo Navarro,25225652O,16/78385189/04,M,50836,1973-12-15,2025-01-01,Migraña episódica,Salbutamol inhalado,Alta médica
Mario Martínez,21209360A,10/47209174/08,F,43343,1946-11-20,2025-07-23,Diabetes tipo II,Antihistamínicos,Reagudización leve
Elena Navarro,95885654O,34/78763858/08,M,29032,1958-11-29,2024-08-08,Gastritis,Fisioterapia,Estable
Sergio Martínez,30818877R,15/67746913/09,F,14870,1945-09-21,2023-03-07,Alergia estacional,Sertralina 50 mg,Alta médica
Sergio Gómez,29414142X,12/11706621/01,F,41992,1958-09-24,2025-10-01,Artritis leve,Enalapril 10 mg/día,Síntomas reducidos
Elena Fernández,37154141I,36/76828426/01,F,31775,1990-02-02,2024-10-18,Dermatitis atópica,Salbutamol inhalado,Requiere seguimiento
Paula López,58373626S,78/56371376/03,F,24143,1984-07-11,2024-06-11,Gastritis,Ibuprofeno 400 mg/8h,Requiere seguimiento
Marta Martínez,12175198B,59/16868047/07,F,52110,1941-03-15,2024-01-15,Migraña episódica,Corticoide tópico,Reagudización leve
Pablo Martínez,57881642H,91/52576470/07,M,30029,1994-06-06,2023-07-11,Asma persistente,Salbutamol inhalado,Requiere seguimiento
Sara Navarro,80639322Z,80/95425960/09,M,30230,1962-05-23,2023-04-23,Asma persistente,Corticoide tópico,Sin cambios relevantes
Laura Fernández,93785225D,41/25125894/04,M,49786,1991-04-05,2025-09-05,Alergia estacional,Antihistamínicos,Mejora significativa
Clara Molina,73089013V,98/12507223/05,F,51151,1986-03-17,2024-02-02,Asma persistente,Sertralina 50 mg,Mejora significativa
Mario Molina,47225939W,31/11159899/03,F,21313,2003-09-07,2023-06-16,Asma persistente,Antihistamínicos,Control parcial
Sara Romero,32231211H,82/79813927/04,M,18803,2000-11-23,2025-04-03,Diabetes tipo II,Antihistamínicos,Síntomas reducidos
Sergio Martínez,68103601N,96/85362867/05,F,39936,1957-10-31,2025-08-19,Lumbalgia crónica,Enalapril 10 mg/día,Reagudización leve
Clara Ruiz,14689300A,87/92022179/09,F,30911,1947-01-30,2024-05-31,Lumbalgia crónica,Enalapril 10 mg/día,Síntomas reducidos
Carlos Gómez,96356275C,82/10277051/01,F,10259,2002-09-22,2025-07-15,Migraña episódica,Ibuprofeno 400 mg/8h,Reagudización leve
Ana Gómez,42339679U,95/98038048/09,M,22529,1964-02-14,2024-02-04,Migraña episódica,Paracetamol 1g,Mejora significativa
Laura Romero,35456647I,81/94927919/04,M,28900,1991-09-14,2023-05-01,Diabetes tipo II,Antihistamínicos,Sin cambios relevantes
Laura Ruiz,85470615U,81/78836504/06,M,33607,1956-07-10,2025-08-19,Gastritis,Corticoide tópico,Control parcial
Sara Ortega,44909579S,20/86061688/05,M,20900,1990-07-21,2024-05-26,Asma persistente,Omeprazol 20 mg/día,Alta médica
Javier Ruiz,90699926F,45/89435030/08,F,24401,1991-11-22,2024-08-12,Hipertensión arterial,Fisioterapia,Alta médica
Marta Gómez,31691419U,41/77304496/09,F,37217,1973-05-24,2024-12-25,Gastritis,Enalapril 10 mg/día,Sin cambios relevantes
Hugo Sánchez,38887062R,80/37997748/05,F,11196,2002-11-17,2023-11-04,Gastritis,Metformina 850 mg/12h,Respuesta favorable
David Navarro,18382059C,76/86299138/06,M,44038,1948-03-23,2024-08-17,Alergia estacional,Enalapril 10 mg/día,Respuesta favorable
Elena Gómez,43695183E,11/20724480/01,M,31917,1987-05-10,2025-06-10,Migraña episódica,Corticoide tópico,Respuesta favorable
Pablo Fernández,36555558W,48/22823200/05,F,40775,1991-12-24,2024-06-08,Alergia estacional,Sertralina 50 mg,Estable
David Molina,52696225T,42/68021277/03,M,38059,1952-11-29,2023-05-31,Diabetes tipo II,Sertralina 50 mg,Alta médica
Lucía Fernández,48565538F,48/94990871/07,M,41971,1971-05-20,2023-01-29,Migraña episódica,Salbutamol inhalado,Requiere seguimiento
Marta Molina,90838842P,47/81618041/04,M,34778,1994-10-14,2024-11-15,Asma persistente,Sertralina 50 mg,Síntomas reducidos
Pablo López,15903071R,93/75732451/05,M,45843,1993-03-26,2025-08-20,Artritis leve,Ibuprofeno 400 mg/8h,Mejora significativa
Mario Vega,67566690D,20/62912239/04,F,33352,1952-10-04,2025-07-21,Alergia estacional,Paracetamol 1g,Sin cambios relevantes
Sara Ruiz,16286812H,58/84587235/07,F,31163,1992-12-09,2023-10-17,Alergia estacional,Metformina 850 mg/12h,Alta médica
Javier Navarro,89266378L,14/11218129/02,F,39827,1970-08-03,2024-07-21,Dermatitis atópica,Omeprazol 20 mg/día,Requiere seguimiento
Sergio Vega,13443903Y,44/90881310/07,M,34309,1995-11-21,2023-10-17,Alergia estacional,Enalapril 10 mg/día,Control parcial
Clara Fernández,21440597A,16/53643431/03,F,40080,1999-08-07,2025-03-22,Ansiedad generalizada,Enalapril 10 mg/día,Respuesta favorable
Hugo López,68871337S,31/18495844/07,M,41150,1965-08-01,2024-05-28,Gastritis,Omeprazol 20 mg/día,Requiere seguimiento
Laura López,83209040H,76/79514876/05,M,30793,1991-09-12,2024-06-06,Migraña episódica,Paracetamol 1g,Control parcial
Marta Ruiz,86018393U,80/94444741/04,M,17530,1954-05-09,2023-03-24,Artritis leve,Enalapril 10 mg/día,Requiere seguimiento
Sara Ruiz,96998210S,56/20342406/04,M,24014,1969-10-24,2023-09-17,Diabetes tipo II,Salbutamol inhalado,Estable
Lucía Ruiz,17467525P,47/36689535/07,M,40850,1972-05-28,2025-08-23,Migraña episódica,Ibuprofeno 400 mg/8h,Control parcial
Laura Romero,61746384J,95/96297632/09,M,34529,2001-11-25,2024-03-27,Ansiedad generalizada,Ibuprofeno 400 mg/8h,Mejora significativa
Javier Gómez,59470248E,61/85680777/06,M,25932,1967-04-15,2025-08-11,Alergia estacional,Corticoide tópico,Estable
Mario Navarro,71825263K,88/36102607/02,F,48007,1985-01-29,2025-08-15,Ansiedad generalizada,Metformina 850 mg/12h,Requiere seguimiento
Mario Ruiz,20687793K,48/63872456/05,F,32832,1996-11-22,2025-09-29,Asma persistente,Fisioterapia,Sin cambios relevantes
Javier Ruiz,70121586J,60/23837275/06,F,29186,2002-09-19,2025-09-14,Hipertensión arterial,Corticoide tópico,Síntomas reducidos
Laura Martínez,99080935U,87/59139676/08,M,23384,1986-08-30,2023-11-29,Diabetes tipo II,Sertralina 50 mg,Síntomas reducidos
Clara Vega,98868422P,39/34626881/03,F,27471,1968-11-05,2024-04-09,Ansiedad generalizada,Omeprazol 20 mg/día,Síntomas reducidos
Carlos Ortega,66301137F,14/83204991/09,M,29916,1976-10-02,2023-07-20,Hipertensión arterial,Corticoide tópico,Alta médica
Laura Fernández,15993455G,99/26559885/09,F,19174,1988-07-29,2025-05-30,Hipertensión arterial,Paracetamol 1g,Estable
Pablo Díaz,99230322L,47/56312641/06,F,10133,1953-10-15,2025-06-14,Asma persistente,Fisioterapia,Sin cambios relevantes
Laura Ortega,16079809E,56/34182601/03,M,35179,1975-07-07,2024-06-21,Asma persistente,Fisioterapia,Sin cambios relevantes
Elena Martínez,65856793S,15/98231229/08,M,18365,1966-12-23,2024-08-09,Hipertensión arterial,Omeprazol 20 mg/día,Alta médica
Ana Molina,94107684I,74/48082079/09,F,41950,2007-10-20,2025-10-14,Artritis leve,Fisioterapia,Requiere seguimiento
Lucía Ruiz,20173796B,45/69599758/08,F,15548,1950-01-13,2025-09-05,Asma persistente,Salbutamol inhalado,Estable
Clara Vega,87305345H,23/61573812/07,M,15287,2002-03-07,2024-02-23,Alergia estacional,Corticoide tópico,Alta médica
Carlos Vega,36184488O,82/78002005/05,M,50904,1980-09-29,2023-10-30,Artritis leve,Ibuprofeno 400 mg/8h,Síntomas reducidos
David Romero,11169431D,91/81478574/04,F,50423,1994-10-27,2024-08-07,Alergia estacional,Salbutamol inhalado,Respuesta favorable
Pablo Molina,32487485R,51/36968943/04,M,22854,2002-03-11,2023-09-03,Lumbalgia crónica,Ibuprofeno 400 mg/8h,Mejora significativa
Javier López,91212138E,92/88325817/05,F,40454,1989-04-23,2024-01-25,Diabetes tipo II,Corticoide tópico,Reagudización leve
Clara Gómez,37401011Z,92/91127545/01,M,29800,1960-07-25,2025-11-07,Artritis leve,Corticoide tópico,Reagudización leve
Lucía Romero,76685105R,97/63315236/01,M,32033,1979-04-18,2025-08-01,Ansiedad generalizada,Paracetamol 1g,Reagudización leve
Pablo Romero,50058467L,38/93663032/08,F,23704,1973-01-10,2024-07-09,Lumbalgia crónica,Fisioterapia,Requiere seguimiento
Sara Fernández,57026174Y,96/80573468/09,M,43161,1995-07-28,2025-06-17,Migraña episódica,Enalapril 10 mg/día,Reagudización leve
Mario Ortega,65032385W,10/17200863/05,F,32578,1964-06-27,2024-08-14,Dermatitis atópica,Fisioterapia,Alta médica
Sergio Ruiz,64047224W,67/98076423/03,M,41051,1963-07-17,2024-04-14,Artritis leve,Metformina 850 mg/12h,Mejora significativa
Hugo Vega,18224072G,94/33880558/07,M,44091,1969-08-17,2023-12-17,Asma persistente,Metformina 850 mg/12h,Alta médica
Sergio Díaz,83206176L,18/52449955/06,F,50645,1981-02-05,2023-08-01,Lumbalgia crónica,Antihistamínicos,Alta médica
Javier López,34597193Q,91/75738929/09,F,15153,1944-12-09,2024-05-03,Asma persistente,Ibuprofeno 400 mg/8h,Respuesta favorable
Mario López,74334986H,23/45209114/04,F,27979,1968-08-28,2023-12-29,Asma persistente,Paracetamol 1g,Respuesta favorable
Paula Gómez,39806774A,83/53674051/03,F,44211,1981-08-16,2023-01-06,Migraña episódica,Antihistamínicos,Respuesta favorable
Lucía Ruiz,47521985P,92/20284739/08,F,13734,2005-09-07,2025-07-06,Gastritis,Corticoide tópico,Alta médica
Carlos Sánchez,75773716K,92/22044293/05,M,31470,2006-01-17,2025-04-05,Hipertensión arterial,Enalapril 10 mg/día,Sin cambios relevantes
